render,scene,backend,integrator,sampler,resolution,spp,max depth,spectrum,time consumption
LuisaRender,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,12,RGB,57.8s
LuisaRender,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,89.1s
LuisaRender,classroom,directX,WavePath,Independent,"(1920, 1080)",1024,12,RGB,42.9s
LuisaRender,classroom,directX,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,61.1s
LuisaRender,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,16,RGB,75.7s
LuisaRender,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,114.2s
LuisaRender,classroom,directX,WavePath,Independent,"(1920, 1080)",1024,16,RGB,55.6s
LuisaRender,classroom,directX,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,78.4s
LuisaRender,classroom,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,65.3s
LuisaRender,classroom,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,97.8s
LuisaRender,classroom,directX,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,33.2s
LuisaRender,classroom,directX,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,62.1s
LuisaRender,classroom,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,88.7s
LuisaRender,classroom,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,127.7s
LuisaRender,classroom,directX,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,44.0s
LuisaRender,classroom,directX,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,80.2s
LuisaRender,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,12,RGB,37.6s
LuisaRender,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,54.6s
LuisaRender,dining-room,directX,WavePath,Independent,"(1920, 1080)",1024,12,RGB,34.0s
LuisaRender,dining-room,directX,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,43.5s
LuisaRender,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,RGB,51.5s
LuisaRender,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,71.0s
LuisaRender,dining-room,directX,WavePath,Independent,"(1920, 1080)",1024,16,RGB,46.3s
LuisaRender,dining-room,directX,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,58.6s
LuisaRender,dining-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,39.5s
LuisaRender,dining-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,91.0s
LuisaRender,dining-room,directX,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,21.3s
LuisaRender,dining-room,directX,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,38.9s
LuisaRender,dining-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,52.0s
LuisaRender,dining-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,114.7s
LuisaRender,dining-room,directX,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,27.5s
LuisaRender,dining-room,directX,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,49.1s
LuisaRender,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,12,RGB,5.4s
LuisaRender,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,12,Spectral,8.6s
LuisaRender,coffee,directX,WavePath,Independent,"(800, 1000)",1024,12,RGB,3.1s
LuisaRender,coffee,directX,WavePath,Independent,"(800, 1000)",1024,12,Spectral,4.6s
LuisaRender,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,16,RGB,6.3s
LuisaRender,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,16,Spectral,10.3s
LuisaRender,coffee,directX,WavePath,Independent,"(800, 1000)",1024,16,RGB,3.4s
LuisaRender,coffee,directX,WavePath,Independent,"(800, 1000)",1024,16,Spectral,5.0s
LuisaRender,coffee,cuda,MegaPath,Independent,"(800, 1000)",1024,12,RGB,6.6s
LuisaRender,coffee,cuda,MegaPath,Independent,"(800, 1000)",1024,12,Spectral,14.7s
LuisaRender,coffee,directX,MegaPath,Independent,"(800, 1000)",1024,12,RGB,5.6s
LuisaRender,coffee,directX,MegaPath,Independent,"(800, 1000)",1024,12,Spectral,8.3s
LuisaRender,coffee,cuda,MegaPath,Independent,"(800, 1000)",1024,16,RGB,9.4s
LuisaRender,coffee,cuda,MegaPath,Independent,"(800, 1000)",1024,16,Spectral,15.5s
LuisaRender,coffee,directX,MegaPath,Independent,"(800, 1000)",1024,16,RGB,6.5s
LuisaRender,coffee,directX,MegaPath,Independent,"(800, 1000)",1024,16,Spectral,9.2s
LuisaRender,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,12,RGB,19.3s
LuisaRender,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,24.9s
LuisaRender,glass-of-water,directX,WavePath,Independent,"(1920, 1080)",1024,12,RGB,11.2s
LuisaRender,glass-of-water,directX,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,15.3s
LuisaRender,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,16,RGB,21.1s
LuisaRender,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,27.6s
LuisaRender,glass-of-water,directX,WavePath,Independent,"(1920, 1080)",1024,16,RGB,11.9s
LuisaRender,glass-of-water,directX,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,16.6s
