render,scene,backend,integrator,sampler,resolution,spp,max depth,spectrum,time consumption
LuisaRender,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,12,RGB,54.4s
LuisaRender,classroom,directX,WavePath,Independent,"(1920, 1080)",1024,12,RGB,42.6s
LuisaRender,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,84.7s
LuisaRender,classroom,directX,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,60.6s
LuisaRender,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,16,RGB,75.8s
LuisaRender,classroom,directX,WavePath,Independent,"(1920, 1080)",1024,16,RGB,55.9s
LuisaRender,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,111.1s
LuisaRender,classroom,directX,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,77.2s
LuisaRender,classroom,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,66.4s
LuisaRender,classroom,directX,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,33.7s
LuisaRender,classroom,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,95.2s
LuisaRender,classroom,directX,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,60.1s
LuisaRender,classroom,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,89.6s
LuisaRender,classroom,directX,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,43.6s
LuisaRender,classroom,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,125.9s
LuisaRender,classroom,directX,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,77.8s
LuisaRender,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,12,RGB,37.9s
LuisaRender,dining-room,directX,WavePath,Independent,"(1920, 1080)",1024,12,RGB,34.5s
LuisaRender,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,53.2s
LuisaRender,dining-room,directX,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,43.7s
LuisaRender,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,RGB,52.0s
LuisaRender,dining-room,directX,WavePath,Independent,"(1920, 1080)",1024,16,RGB,46.7s
LuisaRender,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,69.7s
LuisaRender,dining-room,directX,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,58.0s
LuisaRender,dining-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,40.4s
LuisaRender,dining-room,directX,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,19.9s
LuisaRender,dining-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,90.1s
LuisaRender,dining-room,directX,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,38.6s
LuisaRender,dining-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,54.5s
LuisaRender,dining-room,directX,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,25.8s
LuisaRender,dining-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,115.5s
LuisaRender,dining-room,directX,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,48.9s
LuisaRender,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,12,RGB,5.6s
LuisaRender,coffee,directX,WavePath,Independent,"(800, 1000)",1024,12,RGB,3.1s
LuisaRender,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,12,Spectral,8.8s
LuisaRender,coffee,directX,WavePath,Independent,"(800, 1000)",1024,12,Spectral,4.5s
LuisaRender,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,16,RGB,6.5s
LuisaRender,coffee,directX,WavePath,Independent,"(800, 1000)",1024,16,RGB,3.4s
LuisaRender,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,16,Spectral,10.4s
LuisaRender,coffee,directX,WavePath,Independent,"(800, 1000)",1024,16,Spectral,4.9s
LuisaRender,coffee,cuda,MegaPath,Independent,"(800, 1000)",1024,12,RGB,6.7s
LuisaRender,coffee,directX,MegaPath,Independent,"(800, 1000)",1024,12,RGB,6.1s
LuisaRender,coffee,cuda,MegaPath,Independent,"(800, 1000)",1024,12,Spectral,14.2s
LuisaRender,coffee,directX,MegaPath,Independent,"(800, 1000)",1024,12,Spectral,8.5s
LuisaRender,coffee,cuda,MegaPath,Independent,"(800, 1000)",1024,16,RGB,7.9s
LuisaRender,coffee,directX,MegaPath,Independent,"(800, 1000)",1024,16,RGB,6.8s
LuisaRender,coffee,cuda,MegaPath,Independent,"(800, 1000)",1024,16,Spectral,15.7s
LuisaRender,coffee,directX,MegaPath,Independent,"(800, 1000)",1024,16,Spectral,9.4s
LuisaRender,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,12,RGB,19.0s
LuisaRender,glass-of-water,directX,WavePath,Independent,"(1920, 1080)",1024,12,RGB,10.9s
LuisaRender,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,24.4s
LuisaRender,glass-of-water,directX,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,15.2s
LuisaRender,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,16,RGB,21.9s
LuisaRender,glass-of-water,directX,WavePath,Independent,"(1920, 1080)",1024,16,RGB,11.9s
LuisaRender,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,28.3s
LuisaRender,glass-of-water,directX,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,16.4s
LuisaRender,glass-of-water,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,19.4s
LuisaRender,glass-of-water,directX,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,12.8s
LuisaRender,glass-of-water,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,37.0s
LuisaRender,glass-of-water,directX,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,21.9s
LuisaRender,glass-of-water,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,21.7s
LuisaRender,glass-of-water,directX,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,14.1s
LuisaRender,glass-of-water,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,40.6s
LuisaRender,glass-of-water,directX,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,23.0s
LuisaRender,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,12,RGB,51.9s
LuisaRender,living-room,directX,WavePath,Independent,"(1920, 1080)",1024,12,RGB,39.8s
LuisaRender,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,72.5s
LuisaRender,living-room,directX,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,53.0s
LuisaRender,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,RGB,66.8s
LuisaRender,living-room,directX,WavePath,Independent,"(1920, 1080)",1024,16,RGB,52.4s
LuisaRender,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,93.1s
LuisaRender,living-room,directX,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,68.8s
LuisaRender,living-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,51.5s
LuisaRender,living-room,directX,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,26.2s
LuisaRender,living-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,108.4s
LuisaRender,living-room,directX,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,44.8s
LuisaRender,living-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,70.3s
LuisaRender,living-room,directX,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,34.7s
LuisaRender,living-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,142.0s
LuisaRender,living-room,directX,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,57.9s
LuisaRender,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,12,RGB,13.5s
LuisaRender,spaceship,directX,WavePath,Independent,"(1920, 1080)",1024,12,RGB,11.6s
LuisaRender,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,19.8s
LuisaRender,spaceship,directX,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,17.2s
LuisaRender,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,16,RGB,15.9s
LuisaRender,spaceship,directX,WavePath,Independent,"(1920, 1080)",1024,16,RGB,13.1s
LuisaRender,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,22.6s
LuisaRender,spaceship,directX,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,19.4s
LuisaRender,spaceship,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,24.2s
LuisaRender,spaceship,directX,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,17.8s
LuisaRender,spaceship,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,58.3s
LuisaRender,spaceship,directX,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,32.3s
LuisaRender,spaceship,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,27.6s
LuisaRender,spaceship,directX,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,20.3s
LuisaRender,spaceship,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,65.6s
LuisaRender,spaceship,directX,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,35.5s
LuisaRender,staircase,cuda,WavePath,Independent,"(720, 1280)",1024,12,RGB,22.4s
LuisaRender,staircase,directX,WavePath,Independent,"(720, 1280)",1024,12,RGB,21.2s
LuisaRender,staircase,cuda,WavePath,Independent,"(720, 1280)",1024,12,Spectral,31.9s
LuisaRender,staircase,directX,WavePath,Independent,"(720, 1280)",1024,12,Spectral,28.2s
LuisaRender,staircase,cuda,WavePath,Independent,"(720, 1280)",1024,16,RGB,31.3s
LuisaRender,staircase,directX,WavePath,Independent,"(720, 1280)",1024,16,RGB,29.3s
LuisaRender,staircase,cuda,WavePath,Independent,"(720, 1280)",1024,16,Spectral,44.8s
LuisaRender,staircase,directX,WavePath,Independent,"(720, 1280)",1024,16,Spectral,37.9s
LuisaRender,staircase,cuda,MegaPath,Independent,"(720, 1280)",1024,12,RGB,24.0s
LuisaRender,staircase,directX,MegaPath,Independent,"(720, 1280)",1024,12,RGB,16.0s
LuisaRender,staircase,cuda,MegaPath,Independent,"(720, 1280)",1024,12,Spectral,47.2s
LuisaRender,staircase,directX,MegaPath,Independent,"(720, 1280)",1024,12,Spectral,24.3s
LuisaRender,staircase,cuda,MegaPath,Independent,"(720, 1280)",1024,16,RGB,33.7s
LuisaRender,staircase,directX,MegaPath,Independent,"(720, 1280)",1024,16,RGB,21.4s
LuisaRender,staircase,cuda,MegaPath,Independent,"(720, 1280)",1024,16,Spectral,63.3s
