render,scene,backend,integrator,sampler,resolution,spp,max depth,rr depth,spectrum,time consumption
PBRT-v4,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,139.4s
PBRT-v4,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,124.1s
PBRT-v4,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,128.4s
PBRT-v4,coffee,cuda,WavePath,Independent,"(1200, 1800)",1024,16,5,Spectral,92.2s
PBRT-v4,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,80.4s
PBRT-v4,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,96.0s
PBRT-v4,staircase,cuda,WavePath,Independent,"(1080, 1920)",1024,16,5,Spectral,141.2s
PBRT-v4,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,91.8s
PBRT-v4,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,68.7s
PBRT-v4,coffee,cuda,WavePath,Independent,"(1200, 1800)",1024,8,2,Spectral,75.1s
PBRT-v4,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,61.1s
PBRT-v4,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,79.7s
PBRT-v4,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,71.7s
PBRT-v4,staircase,cuda,WavePath,Independent,"(1080, 1920)",1024,8,2,Spectral,94.6s
