render,scene,backend,integrator,sampler,resolution,spp,max depth,rr depth,spectrum,time consumption
PBRT-v4,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,138.0s
PBRT-v4,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,121.8s
PBRT-v4,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,16,5,Spectral,34.1s
PBRT-v4,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,80.9s
PBRT-v4,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,129.0s
PBRT-v4,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,95.2s
PBRT-v4,staircase,cuda,WavePath,Independent,"(720, 1280)",1024,16,5,Spectral,63.6s
PBRT-v4,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,91.8s
PBRT-v4,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,68.7s
PBRT-v4,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,8,2,Spectral,27.4s
PBRT-v4,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,61.1s
PBRT-v4,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,79.7s
PBRT-v4,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,71.7s
PBRT-v4,staircase,cuda,WavePath,Independent,"(720, 1280)",1024,8,2,Spectral,42.4s
