scene,backend,integrator,spectrum,Scene parse time (ms),Scene load time (ms),Pipeline create time (ms),Shader compile time (ms)
coffee,CUDA,Mega-kernel,RGB,6.11965,232.1825,60.14125,2893.609
coffee,CUDA,Mega-kernel,Spectral,6.4941,233.4765,56.5752,3391.1335
coffee,CUDA,Wavefront,RGB,5.9602,352.0285,59.63,10477.05085
coffee,CUDA,Wavefront,Spectral,6.0981,240.0135,57.58025,10216.36885
glass-of-water,CUDA,Mega-kernel,RGB,5.6199,859.7075,66.6372,4701.491
glass-of-water,CUDA,Mega-kernel,Spectral,5.93975,873.635,76.8739,5850.0125
glass-of-water,CUDA,Wavefront,RGB,5.75985,968.658,66.4076,11565.09505
glass-of-water,CUDA,Wavefront,Spectral,6.2708,856.05,70.74035,13081.902
spaceship,CUDA,Mega-kernel,RGB,6.38,564.18,108.053,5801.242
spaceship,CUDA,Mega-kernel,Spectral,6.01755,565.72,102.90455,7304.193
spaceship,CUDA,Wavefront,RGB,6.23305,945.1645,108.05,13288.61995
spaceship,CUDA,Wavefront,Spectral,6.06185,571.3135,108.427,14540.96565
staircase,CUDA,Mega-kernel,RGB,9.31895,1241.36,387.8365,6991.6125
staircase,CUDA,Mega-kernel,Spectral,9.3343,1783.615,403.6285,8023.855
staircase,CUDA,Wavefront,RGB,9.0188,1299.91,394.4995,14891.6754
staircase,CUDA,Wavefront,Spectral,9.44825,1953.935,394.1755,16822.35915
coffee,DirectX,Mega-kernel,RGB,5.3328,242.8985,183.5595,563.20145
coffee,DirectX,Mega-kernel,Spectral,5.53065,238.781,173.717,703.5357
coffee,DirectX,Wavefront,RGB,5.1576,236.3365,176.247,1125.89505
coffee,DirectX,Wavefront,Spectral,6.00515,251.285,172.1785,1350.1591
glass-of-water,DirectX,Mega-kernel,RGB,5.5121,872.6915,182.801,898.4053
glass-of-water,DirectX,Mega-kernel,Spectral,5.96295,865.8845,171.015,1383.84135
glass-of-water,DirectX,Wavefront,RGB,6.0298,874.296,188.159,1465.60835
glass-of-water,DirectX,Wavefront,Spectral,5.3583,856.2135,172.431,1771.8739
spaceship,DirectX,Mega-kernel,RGB,5.9154,557.7,243.992,961.56755
spaceship,DirectX,Mega-kernel,Spectral,6.441,561.983,224.862,1590.53895
spaceship,DirectX,Wavefront,RGB,6.0473,590.891,250.049,1519.7405
spaceship,DirectX,Wavefront,Spectral,6.1564,562.438,223.527,1862.53395
staircase,DirectX,Mega-kernel,RGB,9.93145,1233.355,618.8835,1296.53685
staircase,DirectX,Mega-kernel,Spectral,9.84245,1824.825,753.3535,1528.7906
staircase,DirectX,Wavefront,RGB,8.8228,1248.455,606.9355,1649.23475
staircase,DirectX,Wavefront,Spectral,9.72705,1787.86,741.494,2284.834
coffee,ISPC,Mega-kernel,RGB,5.12745,231.491,114.16085,59412.01
coffee,ISPC,Mega-kernel,Spectral,5.24795,240.743,79.13695,91730.035
coffee,ISPC,Wavefront,RGB,4.337,251.524,78.4995,155225.049
coffee,ISPC,Wavefront,Spectral,4.93355,244.17,82.50315,182986.6344
glass-of-water,ISPC,Mega-kernel,RGB,4.95885,872.069,80.30595,111309.065
glass-of-water,ISPC,Mega-kernel,Spectral,5.3548,867.3955,98.95605,170975.175
glass-of-water,ISPC,Wavefront,RGB,4.94975,849.8435,59.0309,196740.2375
glass-of-water,ISPC,Wavefront,Spectral,4.7533,872.9205,81.49855,270149.489
spaceship,ISPC,Mega-kernel,RGB,5.72145,571.245,446.27,99476.48
spaceship,ISPC,Mega-kernel,Spectral,5.5673,601.1535,371.2665,160283.255
spaceship,ISPC,Wavefront,RGB,5.21655,636.011,450.1565,193880.3913
spaceship,ISPC,Wavefront,Spectral,5.4519,571.342,395.977,143779.7611
staircase,ISPC,Mega-kernel,RGB,8.51035,1354.905,1328.29,141933.72
staircase,ISPC,Mega-kernel,Spectral,8.3415,1838.87,1208.3,214223.34
staircase,ISPC,Wavefront,RGB,8.2425,1376.865,1286.165,239105.0219
staircase,ISPC,Wavefront,Spectral,8.44375,1962.6,1230.74,316819.0184
