scene,backend,integrator,spectrum,Scene parse time (ms),Scene load time (ms),Pipeline create time (ms),Shader compile time (ms)
coffee,cuda,WavePath,RGB,6.0278,466.674,59.8484,10963.4797
coffee,cuda,WavePath,Spectral,5.817,229.076,60.1333,10022.5333
coffee,directX,WavePath,RGB,4.9917,243.185,181.808,1255.5013
coffee,directX,WavePath,Spectral,5.4765,262.899,173.929,1549.0281
coffee,cuda,MegaPath,RGB,6.0959,239.997,59.2184,2892.582
coffee,cuda,MegaPath,Spectral,6.2957,234.054,57.6884,3390.462
coffee,directX,MegaPath,RGB,5.447,252.26,184.641,575.688
coffee,directX,MegaPath,Spectral,5.54,237.511,156.155,730.4991
glass-of-water,cuda,WavePath,RGB,5.6755,1095.76,66.0552,11994.7186
glass-of-water,cuda,WavePath,Spectral,6.0186,881.502,70.1853,13216.3111
glass-of-water,directX,WavePath,RGB,5.3948,899.472,179.508,1498.9186
glass-of-water,directX,WavePath,Spectral,5.3483,851.364,168.553,1850.4507
glass-of-water,cuda,MegaPath,RGB,5.1559,885.312,64.9843,4782.355
glass-of-water,cuda,MegaPath,Spectral,6.0102,876.224,71.9942,5792.348
glass-of-water,directX,MegaPath,RGB,5.4224,887.534,184.414,903.0905
glass-of-water,directX,MegaPath,Spectral,6.6127,871.115,176.705,1402.7591
spaceship,cuda,WavePath,RGB,6.3314,1303.6,107.537,14159.7749
spaceship,cuda,WavePath,Spectral,5.6423,576.922,101.024,14564.6628
spaceship,directX,WavePath,RGB,6.1819,626.215,247.775,1554.9534
spaceship,directX,WavePath,Spectral,5.9341,560.634,225.938,1999.8615
spaceship,cuda,MegaPath,RGB,6.2991,581.032,106.497,5803.772
spaceship,cuda,MegaPath,Spectral,6.2235,575.655,98.3971,7280.047
spaceship,directX,MegaPath,RGB,6.2294,558.86,240.44,986.6332
spaceship,directX,MegaPath,Spectral,5.6355,571.358,220.962,1592.7214
staircase,cuda,WavePath,RGB,9.1916,1251.47,401.876,15470.3808
staircase,cuda,WavePath,Spectral,9.5575,2092.77,390.848,16871.9431
staircase,directX,WavePath,RGB,8.6588,1230.01,601.797,1714.4683
staircase,directX,WavePath,Spectral,8.5656,1785.98,737.462,2294.494
staircase,cuda,MegaPath,RGB,9.277,1222.96,395.593,7013.846
staircase,cuda,MegaPath,Spectral,9.1598,1750,415.231,8076.89
