render,scene,backend,integrator,sampler,resolution,spp,max depth,rr depth,spectrum,time consumption
LuisaRender,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,15.1s
LuisaRender,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,21.9s
LuisaRender,classroom,directX,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,13.4s
LuisaRender,classroom,directX,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,18.8s
LuisaRender,classroom,cuda,MegaPath,Independent,"(1920, 1080)",1024,8,2,RGB,19.3s
LuisaRender,classroom,cuda,MegaPath,Independent,"(1920, 1080)",1024,8,2,Spectral,44.7s
LuisaRender,classroom,directX,MegaPath,Independent,"(1920, 1080)",1024,8,2,RGB,11.6s
LuisaRender,classroom,directX,MegaPath,Independent,"(1920, 1080)",1024,8,2,Spectral,26.6s
LuisaRender,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,8.9s
LuisaRender,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,13.0s
LuisaRender,dining-room,directX,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,8.2s
LuisaRender,dining-room,directX,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,11.9s
LuisaRender,dining-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,8,2,RGB,8.5s
LuisaRender,dining-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,8,2,Spectral,22.7s
LuisaRender,dining-room,directX,MegaPath,Independent,"(1920, 1080)",1024,8,2,RGB,5.1s
LuisaRender,dining-room,directX,MegaPath,Independent,"(1920, 1080)",1024,8,2,Spectral,16.3s
LuisaRender,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,12.2s
LuisaRender,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,17.8s
LuisaRender,living-room,directX,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,10.3s
LuisaRender,living-room,directX,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,14.7s
LuisaRender,living-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,8,2,RGB,11.5s
LuisaRender,living-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,8,2,Spectral,28.2s
