render,scene,backend,integrator,sampler,resolution,spp,max depth,spectrum,time consumption
LuisaRender,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,12,RGB,53.1s
LuisaRender,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,83.0s
LuisaRender,classroom,directX,WavePath,Independent,"(1920, 1080)",1024,12,RGB,42.2s
LuisaRender,classroom,directX,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,60.6s
LuisaRender,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,16,RGB,72.8s
LuisaRender,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,113.8s
LuisaRender,classroom,directX,WavePath,Independent,"(1920, 1080)",1024,16,RGB,54.7s
LuisaRender,classroom,directX,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,77.0s
LuisaRender,classroom,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,63.7s
LuisaRender,classroom,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,96.8s
LuisaRender,classroom,directX,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,32.5s
LuisaRender,classroom,directX,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,61.9s
LuisaRender,classroom,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,86.9s
LuisaRender,classroom,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,126.9s
LuisaRender,classroom,directX,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,43.1s
LuisaRender,classroom,directX,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,79.4s
LuisaRender,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,12,RGB,37.1s
LuisaRender,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,54.2s
LuisaRender,dining-room,directX,WavePath,Independent,"(1920, 1080)",1024,12,RGB,33.7s
LuisaRender,dining-room,directX,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,43.5s
LuisaRender,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,RGB,50.8s
LuisaRender,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,70.8s
LuisaRender,dining-room,directX,WavePath,Independent,"(1920, 1080)",1024,16,RGB,45.7s
LuisaRender,dining-room,directX,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,58.1s
LuisaRender,dining-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,38.4s
LuisaRender,dining-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,91.0s
LuisaRender,dining-room,directX,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,20.8s
LuisaRender,dining-room,directX,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,38.2s
LuisaRender,dining-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,52.4s
LuisaRender,dining-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,117.0s
LuisaRender,dining-room,directX,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,27.0s
LuisaRender,dining-room,directX,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,48.3s
LuisaRender,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,12,RGB,3.6s
LuisaRender,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,12,Spectral,5.2s
LuisaRender,coffee,directX,WavePath,Independent,"(800, 1000)",1024,12,RGB,3.0s
LuisaRender,coffee,directX,WavePath,Independent,"(800, 1000)",1024,12,Spectral,4.4s
LuisaRender,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,16,RGB,4.0s
LuisaRender,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,16,Spectral,5.8s
LuisaRender,coffee,directX,WavePath,Independent,"(800, 1000)",1024,16,RGB,3.2s
LuisaRender,coffee,directX,WavePath,Independent,"(800, 1000)",1024,16,Spectral,4.8s
LuisaRender,coffee,cuda,MegaPath,Independent,"(800, 1000)",1024,12,RGB,4.8s
LuisaRender,coffee,cuda,MegaPath,Independent,"(800, 1000)",1024,12,Spectral,11.7s
LuisaRender,coffee,directX,MegaPath,Independent,"(800, 1000)",1024,12,RGB,4.6s
LuisaRender,coffee,directX,MegaPath,Independent,"(800, 1000)",1024,12,Spectral,7.3s
LuisaRender,coffee,cuda,MegaPath,Independent,"(800, 1000)",1024,16,RGB,5.4s
LuisaRender,coffee,cuda,MegaPath,Independent,"(800, 1000)",1024,16,Spectral,13.3s
LuisaRender,coffee,directX,MegaPath,Independent,"(800, 1000)",1024,16,RGB,5.3s
LuisaRender,coffee,directX,MegaPath,Independent,"(800, 1000)",1024,16,Spectral,8.0s
LuisaRender,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,12,RGB,18.7s
LuisaRender,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,25.0s
LuisaRender,glass-of-water,directX,WavePath,Independent,"(1920, 1080)",1024,12,RGB,10.8s
LuisaRender,glass-of-water,directX,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,15.3s
LuisaRender,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,16,RGB,21.5s
LuisaRender,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,28.7s
LuisaRender,glass-of-water,directX,WavePath,Independent,"(1920, 1080)",1024,16,RGB,11.7s
LuisaRender,glass-of-water,directX,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,16.5s
LuisaRender,glass-of-water,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,18.2s
LuisaRender,glass-of-water,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,37.8s
LuisaRender,glass-of-water,directX,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,11.0s
LuisaRender,glass-of-water,directX,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,19.6s
LuisaRender,glass-of-water,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,20.4s
LuisaRender,glass-of-water,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,41.4s
LuisaRender,glass-of-water,directX,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,12.5s
LuisaRender,glass-of-water,directX,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,21.2s
LuisaRender,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,12,RGB,50.7s
LuisaRender,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,73.7s
LuisaRender,living-room,directX,WavePath,Independent,"(1920, 1080)",1024,12,RGB,39.2s
LuisaRender,living-room,directX,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,52.7s
LuisaRender,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,RGB,65.2s
LuisaRender,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,94.1s
LuisaRender,living-room,directX,WavePath,Independent,"(1920, 1080)",1024,16,RGB,51.6s
LuisaRender,living-room,directX,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,68.4s
LuisaRender,living-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,49.2s
LuisaRender,living-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,109.2s
LuisaRender,living-room,directX,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,26.6s
LuisaRender,living-room,directX,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,45.1s
LuisaRender,living-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,67.9s
LuisaRender,living-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,142.8s
LuisaRender,living-room,directX,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,35.3s
LuisaRender,living-room,directX,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,58.8s
LuisaRender,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,12,RGB,13.2s
LuisaRender,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,19.2s
LuisaRender,spaceship,directX,WavePath,Independent,"(1920, 1080)",1024,12,RGB,11.6s
LuisaRender,spaceship,directX,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,17.3s
LuisaRender,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,16,RGB,15.4s
LuisaRender,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,22.4s
LuisaRender,spaceship,directX,WavePath,Independent,"(1920, 1080)",1024,16,RGB,13.1s
LuisaRender,spaceship,directX,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,19.4s
LuisaRender,spaceship,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,22.7s
LuisaRender,spaceship,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,59.3s
LuisaRender,spaceship,directX,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,17.5s
LuisaRender,spaceship,directX,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,31.8s
LuisaRender,spaceship,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,25.8s
